JA,JB,length,DGC_AB,DGC_BA,EGC_AB,EGC_BA,AB capacity,BA capacity,DFFTT_AB,DFFTT_BA,EFFTT_AB,EFFTT_BA
1,3600676,17.26826038,0.154254794,0.914878839,0.149140394,0.737547168,134400.0054,107520.0043,919.9423174,3787.28168,893.7515635,3627.317072
2,4200404,5.037246904,0.044996975,15.33137227,0.043502464,12.69051384,134400.0054,107520.0043,268.3522537,63466.5738,260.7122662,62412.97221
4,3600665,10.863072,0.066228545,3.023221068,0.065008217,2.490051953,134400.0054,107520.0043,394.9727567,12515.08864,389.5960991,12246.27674
4,4201082,7.869691945,2.41726404,0.0479789,1.873613279,0.047093374,134400.0054,107520.0043,10006.63632,286.1358115,9214.581543,282.2407219
6,3600267,7.435169096,2.283752995,0.109407275,1.770130541,0.107562268,112000,89600,9453.946812,652.4813927,8705.645079,644.5841604
6,4200737,4.087733699,3.521501103,0.060150321,2.902552967,0.059134975,112000,89600,14577.7955,358.7235398,14274.98998,354.3817713
7,3600199,26.79557699,0.16336374,6.776640716,0.160361405,5.582788921,156799.9973,125439.9978,974.266111,28052.94663,961.0036893,27456.60698
8,1800246,18.41089468,6.687091573,0.340678548,5.509663074,0.68619057,112000,89600,27682.24418,1989.977207,27096.96813,4112.028097
9,3900003,22.36988099,0.091788534,5.405856858,0.083324118,4.241566648,537600.0213,537600.0213,547.4070203,22378.376,499.3741781,20860.36752
10,3900507,17.26826038,0.17764682,0.17764682,0.145959702,0.145959702,156799.9973,125439.9978,735.3963388,735.3963388,717.8442442,717.8442442
11,5100068,6.260348329,1.310990606,0.115842626,1.079876535,0.233328237,112000,89600,5427.047273,676.6618733,5310.920159,1398.23342
12,2100140,2.800258575,2.663985059,0.011490076,2.201239478,0.01042302,537600.0213,537600.0213,11027.97593,68.52433428,10825.87359,62.5115898
13,1800069,5.343021973,0.047728418,0.16176768,0.046143949,0.130141052,134400.0054,107520.0043,284.641991,669.6621931,276.5382347,640.0451235
17,2400082,0.386242551,1.388112664,0.001584838,1.154908827,0.001430286,537600.0213,537600.0213,5746.305893,9.451632043,5679.934908,8.622288002
19,5100186,12.3436686,0.942076523,0.050648783,0.7638108,0.045974297,537600.0213,537600.0213,3899.870678,302.0584174,3756.483572,275.5539632
20,5100462,5.825825096,0.107802129,1.621856489,0.217133146,1.33583895,112000,89600,629.6955881,6713.924412,1301.183723,6569.76396
21,1800178,10.04230619,0.041205788,0.988575491,0.037401222,0.798088547,537600.0213,537600.0213,245.7424298,4092.36031,224.179485,3925.06422
